2021-10-25 13:25:06.938 [main] INFO  org.example.App - Quiz{id=0, guest='guest 0', personal='personal 0'}
2021-10-25 13:25:06.943 [main] INFO  org.example.App - Quiz{id=1, guest='guest 1', personal='personal 1'}
2021-10-25 13:25:06.943 [main] INFO  org.example.App - Quiz{id=2, guest='guest 2', personal='personal 2'}
2021-10-25 13:25:06.943 [main] INFO  org.example.App - Quiz{id=3, guest='guest 3', personal='personal 3'}
2021-10-25 13:25:06.943 [main] INFO  org.example.App - Quiz{id=4, guest='guest 4', personal='personal 4'}
2021-10-25 13:25:06.944 [main] INFO  org.example.App - Quiz{id=5, guest='guest 5', personal='personal 5'}
2021-10-25 13:25:06.944 [main] INFO  org.example.App - Quiz{id=6, guest='guest 6', personal='personal 6'}
2021-10-25 13:25:06.944 [main] INFO  org.example.App - Quiz{id=7, guest='guest 7', personal='personal 7'}
2021-10-25 13:25:06.945 [main] INFO  org.example.App - Quiz{id=8, guest='guest 8', personal='personal 8'}
2021-10-25 13:25:06.945 [main] INFO  org.example.App - Quiz{id=9, guest='guest 9', personal='personal 9'}
2021-10-25 13:25:28.131 [main] INFO  org.example.App - Quiz{id=1, guest='guest 1', personal='personal 1'}
2021-10-25 13:25:55.621 [main] INFO  org.example.App - Quiz{id=0, guest='guest 0', personal='personal 0'}
2021-10-25 13:25:55.625 [main] INFO  org.example.App - Quiz{id=2, guest='guest 2', personal='personal 2'}
2021-10-25 13:25:55.625 [main] INFO  org.example.App - Quiz{id=3, guest='guest 3', personal='personal 3'}
2021-10-25 13:25:55.625 [main] INFO  org.example.App - Quiz{id=4, guest='guest 4', personal='personal 4'}
2021-10-25 13:25:55.625 [main] INFO  org.example.App - Quiz{id=5, guest='guest 5', personal='personal 5'}
2021-10-25 13:25:55.626 [main] INFO  org.example.App - Quiz{id=6, guest='guest 6', personal='personal 6'}
2021-10-25 13:25:55.626 [main] INFO  org.example.App - Quiz{id=7, guest='guest 7', personal='personal 7'}
2021-10-25 13:25:55.626 [main] INFO  org.example.App - Quiz{id=8, guest='guest 8', personal='personal 8'}
2021-10-25 13:25:55.626 [main] INFO  org.example.App - Quiz{id=9, guest='guest 9', personal='personal 9'}
2021-10-25 13:26:49.952 [main] INFO  org.example.App - Quiz{id=2, guest='guest 2', personal='personal 2'}
2021-10-25 13:26:49.957 [main] INFO  org.example.App - Quiz{id=3, guest='guest 3', personal='personal 3'}
2021-10-25 13:26:49.957 [main] INFO  org.example.App - Quiz{id=4, guest='guest 4', personal='personal 4'}
2021-10-25 13:26:49.957 [main] INFO  org.example.App - Quiz{id=5, guest='guest 5', personal='personal 5'}
2021-10-25 13:26:49.958 [main] INFO  org.example.App - Quiz{id=6, guest='guest 6', personal='personal 6'}
2021-10-25 13:26:49.958 [main] INFO  org.example.App - Quiz{id=7, guest='guest 7', personal='personal 7'}
2021-10-25 13:26:49.958 [main] INFO  org.example.App - Quiz{id=8, guest='guest 8', personal='personal 8'}
2021-10-25 13:26:49.959 [main] INFO  org.example.App - Quiz{id=9, guest='guest 9', personal='personal 9'}
2021-10-25 13:26:49.959 [main] INFO  org.example.App - Quiz{id=10, guest='guest 10', personal='personal 10'}
2021-10-25 13:33:37.976 [main] INFO  org.example.App - Quiz{id=0, guest='guest 0', personal='personal 0'}
2021-10-25 13:33:37.980 [main] INFO  org.example.App - Quiz{id=1, guest='guest 1', personal='personal 1'}
2021-10-25 13:33:37.980 [main] INFO  org.example.App - Quiz{id=2, guest='guest 2', personal='personal 2'}
2021-10-25 13:33:37.980 [main] INFO  org.example.App - Quiz{id=3, guest='guest 3', personal='personal 3'}
2021-10-25 13:33:37.981 [main] INFO  org.example.App - Quiz{id=4, guest='guest 4', personal='personal 4'}
2021-10-25 13:33:37.981 [main] INFO  org.example.App - Quiz{id=5, guest='guest 5', personal='personal 5'}
2021-10-25 13:33:37.981 [main] INFO  org.example.App - Quiz{id=6, guest='guest 6', personal='personal 6'}
2021-10-25 13:33:37.981 [main] INFO  org.example.App - Quiz{id=7, guest='guest 7', personal='personal 7'}
2021-10-25 13:33:37.981 [main] INFO  org.example.App - Quiz{id=8, guest='guest 8', personal='personal 8'}
2021-10-25 13:33:37.982 [main] INFO  org.example.App - Quiz{id=9, guest='guest 9', personal='personal 9'}
2021-10-25 13:33:55.456 [main] INFO  org.example.App - Quiz{id=0, guest='guest 0', personal='personal 0'}
